NPJI00018,Arc The Lad II
NPJI00019,XI [sai]
NPJI00020,Jet Moto
NPJI00021,Jumping Flash! 2: Aloha Danshaku Ooyowari no Kan
NPJI00022,Panekit
NPJI00023,Depth
NPJI00024,Destruction Derby
NPJI00025,Robbit Mon Dieu
NPJI00026,Bealphareth
NPJI00027,MediEvil: Yomigaetta Gallowmere no Yuusha
NPJI00028,Tiny Bullets
NPJI00029,Twisted Metal EX
NPJI00030,Um Jammer Lammy
NPJI00031,My Hot Cooking
NPJI00032,Ape Escape!
NPJI00033,Crime Crackers
NPJI00034,Crash Bandicoot 2
NPJI00035,WipeOut
NPJI00036,Wild Arms 2nd Ignition
NPJI00037,Crash Bandicoot 3
NPJI00038,Gunparade March
NPJI00039,PoPoRoGue
NPJI00040,Linda Cube Again
NPJI00042,PoPoLoCrois Monogatari
NPJI00043,Crime Crackers 2
NPJI00044,Alundra (The Adventures Of Alundra)
NPJI00045,XI [sai] Jumbo  (req. OFW 3.70)
NPJI00045,XI [sai] Jumbo  (req. OFW 6.60)
NPJI00046,Circadia
NPJI00047,The Legend of Dragoon  (req. OFW 6.35)
NPJI00047,The Legend of Dragoon  (req. OFW 6.60)
NPJI00048,I.Q Final  (req. OFW 5.50)
NPJI00048,I.Q Final  (req. OFW 6.60)
NPJI00049,PopoloCrois Monogatari II
NPJI00050,Arc The Lad III  (req. OFW 6.60) (DateCode 2013-10-09)
NPJI00050,Arc The Lad III  (req. OFW 6.60) (DateCode 2013-12-20)
NPJI00050,Arc The Lad III  (req. OFW 5.50)
NPJI00051,Velldeselba Senki: Tsubasa no Kunshou
NPJI00052,Arc the Lad: Monster Game with Casino Game
NPJI00053,Kokohore! Pukka: Dig-a-Dig Pukka
NPJI00054,Magical Dice Kids
NPJI00055,Addie no Okurimono: To Moze from Addie
NPJI00057,Docchi Mecha!
NPJI00060,Crash Team Racing
NPJI00061,Crash Bash Carnival
NPJI00062,Spyro the Dragon
NPJI00063,Spyro 2: Ripto's Rage!
NPJI00066,G-POLICE
NPJI00067,KulaQuest
NPJI00069,Rapid Racer
NPJI00070,Fire Panic
NPJI00072,WarHawk
NPJI00078,Doko Demo Issho
NPJI00079,Pocket Jiman
NPJI00080,Brightis
NPJI00081,Pocket MuuMuu
NPJI00082,Vib-Ribbon
NPJI90001,XI[sai] / Devil Dice (Demo)
NPJI90001,XI[sai] / Devil Dice
NPJJ00001,Mr. Driller
NPJJ00002,Tekken 2
NPJJ00003,Silent Bomber
NPJJ00004,Biohazard Director’s Cut
NPJJ00005,Bishi Bashi Special
NPJJ00006,Konami Antiques: MSX Collection Vol. 1
NPJJ00008,Konami Antiques: MSX Collection Vol. 2
NPJJ00009,DINO CRISIS
NPJJ00010,The Conveni: Ano Machi wo Dokusen Seyo
NPJJ00011,The Adventure of Puppet Princess: Marl Oukoku no Ningyou Hime
NPJJ00013,Migi Hadari U-SA
NPJJ00014,Taiyou no Shippo: Wild, Pure, Simple Life
NPJJ00015,A. IV Evolution Global (PlayStation the Best)
NPJJ00016,Vampire: Kyuuketsuki Densetsu  (req. OFW 5.50)
NPJJ00016,Vampire: Kyuuketsuki Densetsu  (req. OFW 6.60)
NPJJ00017,Spectral Force
NPJJ00018,Logic Mahjong Soryu 3 or 4players
NPJJ00019,Yaku: Yuujou Dangi
NPJJ00020,THE DRUG STORE
NPJJ00021,PUZZLE MANIA
NPJJ00023,Shanghai: Dynasty
NPJJ00024,Arcade Hits RAIDEN
NPJJ00025,Tall Unlimited
NPJJ00026,Galaxy Fight
NPJJ00027,Hard Edge
NPJJ00028,A5: A-Ressha de Ikou 5
NPJJ00029,Lunatic Dawn III  (req. OFW 5.50)
NPJJ00029,Lunatic Dawn III  (req. OFW 6.60) (DateCode 2013-10-24)
NPJJ00029,Lunatic Dawn III  (req. OFW 6.60) (DateCode 2015-05-22)
NPJJ00029,Lunatic Dawn III  (req. OFW 6.60) (DateCode 2014-06-13)
NPJJ00030,Fushigi Deka
NPJJ00031,LOVE GAME'S WAIWAI TENNIS PLUS
NPJJ00033,Ikasama Mahjong
NPJJ00034,Jiisan 2 Tabi Bikkuri: CG Mukashibanashi
NPJJ00035,Yaku Tou: Noroi no Game
NPJJ00036,JIGSAW WORLD
NPJJ00037,Bakumatsu Rouman: Gekka no Kenshi
NPJJ00038,Real Bout Garou Densetsu Special Dominated Mind
NPJJ00039,Real Bout Garou Densetsu
NPJJ00040,Metal Slug X
NPJJ00041,Kenkaku Ibunroku Yomigaerishi Soukou no Yaiba Samurai Spirits Shinshou
NPJJ00042,Garou Densetsu Wild Ambition
NPJJ00043,Spectral Tower
NPJJ00044,Spectral Force 2: Eien naru Kiseki
NPJJ00045,Suna no Embrace: Eden no Sato no Never
NPJJ00046,The FamiRes: Shijou Saikyou no Menu
NPJJ00047,Septentrion ~Out of the Blue~
NPJJ00048,Little Princess+1: Maru Oukoku no Ningyou Hime 2
NPJJ00049,Samurai Spirits: Kenkaku Yubinan Pack
NPJJ00050,The King Of Fighters ’95
NPJJ00051,The King Of Fighters ’96
NPJJ00052,The King Of Fighters ’97
NPJJ00053,Guilty Gear
NPJJ00054,Spectral Tower 2
NPJJ00055,Oasis Road
NPJJ00056,The King Of Fighters ’98
NPJJ00057,The King Of Fighters ’99
NPJJ00058,Samurai Spirits: Amakusa Kourin Special
NPJJ00059,The King Of Fighters Kyo
NPJJ00060,Samurai Spirits: Zankuro Musouken
NPJJ00061,Metal Slug
NPJJ00062,AI Mahjong Selection
